"","imdb","iw","original_title","year","genre","country","language","description","avg_vote","votes","budget","log_budget","usa_gross_income","log_usa_gross_income","worldwide_gross_income","log_worldwide_gross_income","metascore","reviews_from_users","reviews_from_critics","ope","con","ext","agr","neu","age","gender","relation","duration","genre_family","genre_fantasy","genre_sport","genre_biography","genre_crime","genre_romance","genre_animation","genre_music","genre_comedy","genre_war","genre_sci.fi","genre_horror","genre_western","genre_thriller","genre_mystery","genre_drama","genre_action","genre_history","genre_documentary","genre_musical","genre_adventure"
"1","tt0004972","0","The Birth of a Nation",1915,"Drama, History, War","USA","None","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",6.3,22213,NA,NA,NA,NA,NA,NA,NA,368,97,NA,NA,NA,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","tt0006864","0","Intolerance: Love's Struggle Throughout the Ages",1916,"Drama, History","USA","English","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",7.8,13875,NA,NA,NA,NA,NA,NA,99,111,77,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","tt0009968","0","Broken Blossoms or The Yellow Man and the Girl",1919,"Drama, Romance","USA",NA,"A frail waif, abused by her brutal boxer father in London's seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences.",7.3,9241,NA,NA,NA,NA,NA,NA,NA,89,78,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","tt0010323","0","Das Cabinet des Dr. Caligari",1920,"Fantasy, Horror, Mystery","Germany","German","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",8.1,55601,NA,NA,8811,9.08375621986673,8811,9.08375621986673,NA,237,160,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","tt0012349","0","The Kid",1921,"Comedy, Drama, Family","USA","English, None","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",8.3,109038,NA,NA,NA,NA,26916,10.2004761843082,NA,173,105,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","tt0012364","0","Körkarlen",1921,"Drama, Fantasy, Horror","Sweden","Swedish","On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.",8.1,10054,NA,NA,NA,NA,NA,NA,NA,68,82,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","tt0013442","0","Nosferatu, eine Symphonie des Grauens",1922,"Fantasy, Horror","Germany","German","Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.",7.9,86620,NA,NA,NA,NA,19054,9.85503233226672,NA,419,202,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","tt0014341","0","Our Hospitality",1923,"Comedy, Romance, Thriller","USA","English","A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.",7.8,9902,NA,NA,NA,NA,NA,NA,NA,54,47,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","tt0014429","0","Safety Last!",1923,"Action, Comedy, Thriller","USA","English","A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.",8.1,17795,NA,NA,NA,NA,NA,NA,NA,91,93,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","tt0015064","0","Der letzte Mann",1924,"Drama","Germany",NA,"An aging doorman, after being fired from his prestigious job at a luxurious Hotel is forced to face the scorn of his friends, neighbours and society.",8.1,12157,NA,NA,94812,11.4596512625107,NA,NA,NA,61,82,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
